,attack,health,mana,name,rarity,desc_cut
0,3,3,4,감염된 늑대,3,죽음의 메아리:11 거미를 2마리 소환합니다.
1,2,3,4,감염된 타우렌,1,도발죽음의 메아리:22 수액괴물을하나 소환합니다.
2,8,8,8,거대한 모래 벌레,4,이 하수인은 공격하여 다른 하수인을 처치할 때마다 다시 공격할 수 있습니다.
3,2,5,4,검은바다 해적,3,내 무기의 비용이(2) 감소합니다.
4,6,6,7,고대의 방패병,3,"전투의 함성:내 크툰의 공격력이 10 이상이면, 방어도를 +10 얻습니다."
5,4,6,6,고대의 선구자,4,"내 턴이 시작될 때, 내 덱에서 비용이 10인 하수인 하나를 내 손으로 가져옵니다."
6,9,9,9,고대의 존재의 피,4,"내 턴이 끝날 때 내 전장에 이 하수인이 둘 있으면, 고대의 존재로 융합시킵니다."
7,5,5,6,골짜기의 폭군 무클라,5,전투의 함성:바나나 2개를 내손으로 가져옵니다.
8,6,5,5,공주 후후란,5,전투의 함성: 아군 하수인 하나의 죽음의 메아리 능력을 발동시킵니다.
9,3,3,4,공포의 안개도깨비,4,"도발, 전투의 함성: 적 하수인 하나당 생명력을 +1 얻습니다."
10,3,4,5,광기로봇,1,도발천상의 보호막
11,6,7,8,괴물,5,이 하수인은 공격하여 다른 하수인을 처치할 때마다 +2+2를 얻습니다.
12,4,4,5,그림자술사,4,전투의 함성: 아군 하수인 하나를 선택합니다. 그 하수인을 비용이 (1)인 11 하수인으로 복사하여 내 손으로 가져옵니다.
13,1,1,1,금단의 고대정령,4,전투의 함성: 마나를 모두 소모합니다. 소모한만큼 +1+1을 얻습니다.
14,6,10,8,기괴한 공포,1, 
15,5,5,7,기괴한 용매,1,질풍
16,3,3,3,날뛰는 구울,1,전투의 함성:다른 모든 하수인에게피해를 1 줍니다.
17,4,4,4,남쪽바다 촉수얼굴,1,죽음의 메아리:내 무기에 공격력을+2 부여합니다.
18,4,4,6,네루비안 예언자,1,"내 턴이 시작될 때,이 카드의 비용이(1) 감소합니다."
