attack,desc,health,mana,name,rarity
7,"right""><b>돌진</b>, <b>전투의 함성:</b><br/>이번 턴에 영웅을<br/>공격할 수 없습니다.</",7,8,감전된 데빌사우루스,4
6,"right""><b>도발</b></",10,9,거대한 마스토돈,1
5,"right""><b>죽음의 메아리:</b> 내 손에 있는 공격력이 5 이상인 하수인 하나를 소환합니다.</",3,7,거대한 아나콘다,4
4,"right"">이 하수인은 적을<br/>공격할 수 없습니다.</",8,3,거대한 칼날잎새,3
8,"right"">이 하수인은 피해를 받을 때마다 내 영웅에게 피해를 3 줍니다.</",8,5,거센물결 히드라,4
3,"right""><b>전투의 함성:</b> 상대편의 무기를 파괴하고, 그 무기의 공격력만큼 방어도를 얻습니다.</",3,3,걸신들린 수액,4
2,"right""><b>전투의 함성:</b><br/>해적 하나를 처치하고<br/>+1/+1을 얻습니다.</",3,2,골락카 거대게,3
3,"right""><b>전투의 함성:</b> 아군 하수인 하나의 <b>죽음의 메아리</b> 능력을 발동시킵니다.</",3,3,공포비늘 추적자,3
2,"right"">내 주문의 비용이<br/>(1) 감소합니다.</",3,2,광명의 정령,1
4,"right""><b>전투의 함성:</b> 아군<br/>하수인 하나를 처치하고,<br/>2번 <b>적응</b>합니다.</",4,4,굶주린 테러닥스,1
2,"right""><b>도발</b>, <b>전투의 함성:</b> 상대편에게 1/1 랩터를 3마리 소환해 줍니다.</",6,2,궁지에 몰린 보초,3
3,"right""><b>선택 ",3,4,껍질술사,3
5,"right""><b>전투의 함성:</b> 내 손에 공격력이 5 이상인 하수인이 있으면, <b>적응</b>합니다.</",1,3,덩치 큰 긴목공룡,1
0,"right""><b>죽음의 메아리:</b><br/>5/5 데빌사우루스를<br/>1마리 소환합니다.</",3,3,데빌사우루스 알,3
4,"right""><b>전투의 함성:</b><br/>내 전장에 다른 하수인이 둘 이상 있으면, <b>도발</b>을 얻습니다.</",7,5,둥지를 튼 로크,1
3,"right""><b>전투의 함성:</b> 주문을 하나 <b>발견</b>합니다. 그 카드의 비용만큼 내 영웅에게 피해를 줍니다.</",3,3,딸깍거리는 실리시드,4
3,"right""><b>도발</b>, <b>전투의 함성:</b> 무작위로 카드를<br/>2장 버립니다.</",8,4,락카리 지옥사냥개,1
9,"right"">상대편이 하수인을 낸 후에,<br/>그 하수인을 공격합니다.</",9,7,랩터왕 서슬발톱,5
6,"right""><b>전투의 함성:</b> 내 덱에 있는 비용이 (3) 이하인 카드를 모두 파괴합니다.</",6,6,밀림 사냥꾼 헤멧,5
2,"right"">이 하수인은 주문이나 영웅 능력의 대상으로 지정되지 않습니다.</",1,1,바람 정령,1
4,"right""><b>전투의 함성:</b> 내가 이전 턴에 정령을 냈다면, <b>도발</b> 능력이 있는 2/3 정령을 둘 소환합니다.</",4,7,바위 파수병,4
1,"right""><b>도발</b>, <b>전투의 함성:</b><br/><b>도발</b> 하수인을<br/>하나 <b>발견</b>합니다.</",4,3,바위언덕 수호병,3
2,"right""><b>전투의 함성:</b><br/>아군 멀록 1마리에게<br/>+1/+1을 부여합니다.</",3,2,바위웅덩이 사냥꾼,1
1,"right""><b>전투의 함성:</b> 1/2 정령 하나를 내 손으로 가져옵니다.</",2,1,반딧불 정령,1
5,"right""><b>죽음의 메아리:</b><br/>1/1 멀록을<br/>3마리 소환합니다.</",7,7,배부른 트레샤돈,1
1,"right""><b>전투의 함성:</b><br/>무작위 야수 카드 1장을<br/>내 손으로 가져옵니다.</",1,1,보석 박힌 앵무,1
6,"right""><b>전투의 함성:</b> 내가 이전 턴에 정령을 냈다면, 피해를 5 줍니다.</",6,7,불길소환사,4
3,"right""><b>전투의 함성:</b><br/>피해를 2 줍니다.</",3,4,불길의 불사조,1
1,"right""><b>전투의 함성:</b> 내 손에 있는 정령들의 비용이 (1) 감소합니다.</",1,2,불길의 선구자,3
