,attack,health,mana,name,rarity,desc_cut
0,3,9,6,검은경비병,4,내 영웅이 치유될 때마다 무작위 적 하수인 하나에게 그만큼피해를 줍니다.
1,3,3,3,고뇌의 수행사제,1,생명력 흡수
2,4,3,3,곰상어,1,이 하수인은 주문이나 영웅 능력의 대상으로 지정되지 않습니다.
3,4,4,4,공작 발라나르,5,"전투의 함성: 내 덱에 비용이 4인 카드가 없으면, 생명력 흡수와 도발을 얻습니다."
4,2,2,2,공작 켈레세스,5,"전투의 함성: 내 덱에 비용이2인 카드가 없으면, 내 덱에있는 모든 하수인에게+1+1을 부여합니다."
5,3,3,3,공작 탈다람,5,"전투의 함성: 내 덱에비용이 3인 카드가 없으면,선택한 하수인으로 변신합니다.능력치는 33이 됩니다."
6,5,3,6,괴저 외눈깨비,1,내 다른 하수인이 죽을때마다 22 구울을하나 소환합니다.
7,5,4,4,교수 퓨트리사이드,5,"내가 비밀 카드를 낸 후에, 무작위 사냥꾼 비밀 카드 1장을 사용합니다."
8,2,2,3,기워 붙인 추적자,1,전투의 함성:내 덱에서 하수인을하나 발견합니다.
9,5,5,6,네루비안 해결자,4,주문의 비용이 (2) 증가합니다.
10,2,3,2,노움페라투,4,전투의 함성:상대편의 다음 카드 1장을 없앱니다.
11,6,7,7,누더기골렘 궁병,4,죽음의 메아리: 이번 게임에서 죽은 무작위 아군 야수 1마리를 소환합니다.
12,8,8,11,눈덩이 거인,4,이번 게임에서 과부하된 내 마나 수정 하나당 비용이 (1)씩 감소합니다.
13,1,1,0,눈발바닥 펭귄,1, 
14,4,6,7,대주교 베네딕투스,5,전투의 함성: 상대편의 덱을 복사하여 내 덱에 섞어 넣습니다.
15,1,5,3,드라카리 마법부여사,4,턴이 끝날 때 발동하는 내 효과가 2번 발동합니다.
16,2,8,3,드라카리 수호병,1,도발과부하: (3)
17,5,3,4,룬가열로 외눈깨비,3,내 턴 동안 내 무기의 내구도가 감소하지 않습니다.
18,8,8,8,리치 왕,5,"도발내 턴이 끝날 때, 무작위죽음의 기사 카드 1장을 내 손으로 가져옵니다."
19,4,5,4,릴리안 보스,5,전투의 함성:내 손에 있는 모든 주문을 
20,2,5,5,맹독술사,1,독성
21,2,2,4,멍서스,5,죽음의 메아리: 무작위 죽음의 기사 카드 하나를 내 손으로 가져옵니다.
22,5,3,5,무덤 잠복꾼,4,전투의 함성: 이번 게임에서 죽은 무작위 죽음의 메아리 하수인 하나를 내 손으로 가져옵니다.
23,4,4,4,무덤괴물,1,내 무기가 파괴될 때마다 +1+1을 얻습니다.
24,4,4,6,무라비,5,다른 하수인 하나가 빙결 상태가 될 때마다 그 카드를 복사하여 내 손으로 가져옵니다.
25,1,2,2,무리의 드루이드,3,선택 
26,1,4,3,발키르 영혼강탈자,3,이 하수인은 피해를 받고 생존할 때마다 22 구울을 하나 소환합니다.
27,3,4,4,밤의 울음꾼,1,이 하수인은피해를 받을 때마다 공격력을 +2 얻습니다.
28,2,7,5,부두교 사술사,3,도발이 하수인에게 피해를받은 캐릭터는 빙결상태가 됩니다.
29,1,7,5,불꽃피 볼바르,5,"천상의 보호막아군 하수인 하나가천상의 보호막을 잃은 후에,공격력을 +2 얻습니다."
30,3,1,3,브리구울,1,"죽음의 메아리:상대편의 턴이면,22 구울을 하나 소환합니다."
31,5,5,5,뼈다귀 남작,1,죽음의 메아리:11 해골 둘을내 손으로 가져옵니다.
32,2,3,4,사로나이트 광산 노예,3,"도발, 전투의 함성:이 하수인을 복사하여 소환합니다."
33,1,1,4,사악한 해골,1,전투의 함성: 이번 턴에 죽은 하수인 하나당 +1+1을 얻습니다.
34,4,3,3,산불의 방어구,3,"죽음의 메아리:상대편의 턴이면, 방어도를 +6 얻습니다."
